ID ,Department
137,Clinical Sciences
138,Clinical Sciences
U46,Environmental & Radiological Health Sciences
U47,Other
2B-8,Clinical Sciences
139,Clinical Sciences
140,"Microbiology, Immunology, and Pathology"
141,Clinical Sciences
142,Clinical Sciences
143,Environmental & Radiological Health Sciences
144,"Microbiology, Immunology, and Pathology"
2A-8,Environmental & Radiological Health Sciences
145,Environmental & Radiological Health Sciences
146,Environmental & Radiological Health Sciences
131,Biomedical Sciences
96,Environmental & Radiological Health Sciences
